"Competitor","Brand","Type","Model","Price","Processor","RAM","Storage","Screen","Form Factor","Cosmetic Grade"
"SystemLiquidation","Dell","Laptop","latitude 5490","285","Intel Core i5-8350U, 1.70GHz","16GB","256GB M2 SSD","","","Grade A"
"DiscountPC","Dell","Laptop","Latitude 5490","285.95","i5 Gen 8","","","","","N/A"
"SystemLiquidation","HP","Desktop","Z240","289","Intel Core i7-6700, 3.4GHz","32GB RAM","512GB SSD","","Tower","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M720Q","289","Intel Core i7-8700T, 2.4GHz","16GB","512GB SSD","","Tiny","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 3070","289","Intel Core i5-9500T, 2.2GHz","8GB","256GB SSD","","Micro","Grade A"
"DiscountPC","Lenovo","Laptop","ThinkPad T490","289.99","i5 Gen 8","8GB RAM","","","","Grade B"
"PCLiquidations","Dell","Desktop","OptiPlex 5060","289.99","Intel i5-8500 3.0GHz","8GB DDR4","256GB NVMe SSD","","SFF","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 5060","289.99","Intel i5-8500 3.0GHz","8GB DDR4","256GB NVMe SSD","","SFF","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 5060","289.99","Intel i5-8500 3.0GHz","8GB DDR4","256GB NVMe SSD","","SFF","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 5060","289.99","Intel i5-8500 3.0GHz","8GB DDR4","256GB NVMe SSD","","SFF","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 5060","289.99","Intel i5-8500 3.0GHz","8GB DDR4","256GB NVMe SSD","","SFF","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 705 G4","293.99","AMD Ryzen 5 Pro 2400GE Processor, 3.2 GHz","8GB DDR4","256GB SSD","","Mini","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 705 G4","293.99","AMD Ryzen 5 Pro 2400GE Processor, 3.2 GHz","8GB DDR4","256GB SSD","","Mini","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 705 G4","293.99","AMD Ryzen 5 Pro 2400GE Processor, 3.2 GHz","8GB DDR4","256GB SSD","","Mini","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 705 G4","293.99","AMD Ryzen 5 Pro 2400GE Processor, 3.2 GHz","8GB DDR4","256GB SSD","","Mini","N/A"
"PCLiquidations","HP","Desktop","EliteDesk 705 G4","293.99","AMD Ryzen 5 Pro 2400GE Processor, 3.2 GHz","8GB DDR4","256GB SSD","","Mini","N/A"
"SystemLiquidation","Dell","Desktop","OptiPlex 5050","295","Intel i7-7700, 3.6GHz","16GB RAM","512GB SSD","","SFF","Grade A"
"DiscountPC","Dell","Laptop","Latitude 7400","295.99","i5 Gen 8","16GB RAM","","","","Grade B"
"DiscountElectronics","Lenovo","Unknown","ThinkCentre M70Q","299","Quad Core","","","","Tiny Desktop PC","N/A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","299","Intel Core i7-7700, 3.4GHz","32GB","1TB SSD","","SFF","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","299","Intel Core i7-6700T","16GB","1TB SSD","","Micro","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M800","299","Intel Core i7-6700 3.4GHz","32GB","1TB SSD","","SFF","Grade A"
"SystemLiquidation","Lenovo","Laptop","T490","299","Intel Core i5-8265U, 1.60GHz","16GB","512GB M2 SSD","","","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5400","299","Intel Core i5-8265U","16GB","512GB SSD","","","Grade A"
"SystemLiquidation","Lenovo","Laptop","T490","299","Intel Core i5-8265U","16GB","512GB M2 SSD","","","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5490","299","Intel core i5-8350U, 1.7GHz","16GB","512GB SSD","","","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5490","299","Intel Core i5-8350U, 1.70GHz","16GB","256GB SSD","","","Grade A"
"SystemLiquidation","Dell","Laptop","latitude 5490","299","Intel Core i5-8350U, 1.70GHz","16GB","256GB SSD","","","Grade A"
"DiscountPC","Dell","Desktop","OptiPlex 3070 Micro","299.95","i5 Gen 8","","","","Micro","Grade C"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","299.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB NVMe SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","299.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB NVMe SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","299.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB NVMe SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","299.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB NVMe SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3070","299.99","Intel i5-9500T 2.2GHz","8GB DDR4","256GB NVMe SSD","","Micro","N/A"
"SystemLiquidation","HP","Desktop","Z440","305","Intel Xeon E5-1630, 3.70 GHz","32GB RAM","2TB HDD","","Tower","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M720Q","305","Intel Core i5-9500T, 2.2GHz","32GB","512GB NVMe SSD","","Tiny","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M720Q","305","Intel Core i5-9500T","32GB","512GB NVMe SSD","","Tiny","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5300","305","Intel Core i7-8665U, 1.90GHz","16GB RAM","512GB SSD","","","Grade A"
"DiscountPC","Lenovo","Laptop","ThinkPad T490","305.99","i5 Gen 8","16GB RAM","","","","N/A"
"DiscountPC","Dell","Desktop","OptiPlex 3060 Micro","305.99","i5 Gen 8","","","","Micro","N/A"
"SystemLiquidation","Dell","Desktop","Precision 3620","309","Intel Core i7-6700, 3.4GHz","32GB","1TB SSD","","Tower","Grade A"
"SystemLiquidation","HP","Desktop","ProDesk 600G4","309","Intel Core i7-8700, 3.2GHz","32GB","1TB SSD","","Tower","Grade A"
"PCLiquidations","Lenovo","Laptop","ThinkBook 13s G2 ITL","309.96","Intel i7-1165G7 2.8GHz","","","2560 x 1600 (WQXGA)","","N/A"
"PCLiquidations","Lenovo","Laptop","ThinkBook 13s G2 ITL","309.96","Intel i7-1165G7 2.8GHz","","","2560 x 1600 (WQXGA)","","N/A"
